card_name,card_id,set_name,card_market_value,index
Alakazam,base4-1,Base Set 2,37.01,2-1-1
Blastoise,base4-2,Base Set 2,104.69,2-1-2
Chansey,base4-3,Base Set 2,14.71,2-1-3
Charizard,base4-4,Base Set 2,304.88,2-1-4
Clefable,base4-5,Base Set 2,14.02,2-1-5
Clefairy,base4-6,Base Set 2,10.79,2-1-6
Gyarados,base4-7,Base Set 2,26.86,2-1-7
Hitmonchan,base4-8,Base Set 2,21.05,2-1-8
Magneton,base4-9,Base Set 2,12.13,2-1-9
Mewtwo,base4-10,Base Set 2,40.96,2-2-1
Nidoking,base4-11,Base Set 2,24.13,2-2-2
Nidoqueen,base4-12,Base Set 2,22.99,2-2-3
Ninetales,base4-13,Base Set 2,21.31,2-2-4
Pidgeot,base4-14,Base Set 2,27.41,2-2-5
Poliwrath,base4-15,Base Set 2,13.35,2-2-6
Raichu,base4-16,Base Set 2,33.18,2-2-7
Scyther,base4-17,Base Set 2,24.6,2-2-8
Venusaur,base4-18,Base Set 2,73.77,2-2-9
Wigglytuff,base4-19,Base Set 2,11.0,2-3-1
Zapdos,base4-20,Base Set 2,24.31,2-3-2
Beedrill,base4-21,Base Set 2,1.96,2-3-3
Dragonair,base4-22,Base Set 2,8.65,2-3-4
Dugtrio,base4-23,Base Set 2,3.3,2-3-5
Electabuzz,base4-24,Base Set 2,3.19,2-3-6
Electrode,base4-25,Base Set 2,3.83,2-3-7
Kangaskhan,base4-26,Base Set 2,3.15,2-3-8
Mr. Mime,base4-27,Base Set 2,6.03,2-3-9
Pidgeotto,base4-28,Base Set 2,3.8200000000000003,2-4-1
Pinsir,base4-29,Base Set 2,3.35,2-4-2
Snorlax,base4-30,Base Set 2,9.3,2-4-3
Venomoth,base4-31,Base Set 2,3.34,2-4-4
Victreebel,base4-32,Base Set 2,2.8,2-4-5
Arcanine,base4-33,Base Set 2,2.08,2-4-6
Butterfree,base4-34,Base Set 2,1.5899999999999999,2-4-7
Charmeleon,base4-35,Base Set 2,1.73,2-4-8
Dewgong,base4-36,Base Set 2,1.23,2-4-9
Dodrio,base4-37,Base Set 2,1.8,2-5-1
Dratini,base4-38,Base Set 2,1.01,2-5-2
Exeggutor,base4-39,Base Set 2,1.18,2-5-3
Farfetch'd,base4-40,Base Set 2,0.5,2-5-4
Fearow,base4-41,Base Set 2,1.32,2-5-5
Growlithe,base4-42,Base Set 2,1.21,2-5-6
Haunter,base4-43,Base Set 2,0.85,2-5-7
Ivysaur,base4-44,Base Set 2,3.58,2-5-8
Jynx,base4-45,Base Set 2,0.6000000000000001,2-5-9
Kadabra,base4-46,Base Set 2,1.23,2-6-1
Kakuna,base4-47,Base Set 2,0.71,2-6-2
Lickitung,base4-48,Base Set 2,1.25,2-6-3
Machoke,base4-49,Base Set 2,0.54,2-6-4
Magikarp,base4-50,Base Set 2,0.9,2-6-5
Magmar,base4-51,Base Set 2,1.09,2-6-6
Marowak,base4-52,Base Set 2,1.87,2-6-7
Nidorina,base4-53,Base Set 2,0.62,2-6-8
Nidorino,base4-54,Base Set 2,1.55,2-6-9
Parasect,base4-55,Base Set 2,0.9,2-7-1
Persian,base4-56,Base Set 2,1.7000000000000002,2-7-2
Poliwhirl,base4-57,Base Set 2,0.92,2-7-3
Raticate,base4-58,Base Set 2,0.9,2-7-4
Rhydon,base4-59,Base Set 2,1.79,2-7-5
Seaking,base4-60,Base Set 2,0.59,2-7-6
Seel,base4-61,Base Set 2,0.58,2-7-7
Tauros,base4-62,Base Set 2,2.96,2-7-8
Wartortle,base4-63,Base Set 2,1.74,2-7-9
Weepinbell,base4-64,Base Set 2,1.23,2-8-1
Abra,base4-65,Base Set 2,0.42,2-8-2
Bellsprout,base4-66,Base Set 2,0.44,2-8-3
Bulbasaur,base4-67,Base Set 2,2.22,2-8-4
Caterpie,base4-68,Base Set 2,0.43,2-8-5
Charmander,base4-69,Base Set 2,1.2,2-8-6
Cubone,base4-70,Base Set 2,0.81,2-8-7
Diglett,base4-71,Base Set 2,0.38,2-8-8
Doduo,base4-72,Base Set 2,0.44,2-8-9
Drowzee,base4-73,Base Set 2,0.44,2-9-1
Exeggcute,base4-74,Base Set 2,0.51,2-9-2
Gastly,base4-75,Base Set 2,0.47000000000000003,2-9-3
Goldeen,base4-76,Base Set 2,0.38,2-9-4
Jigglypuff,base4-77,Base Set 2,0.73,2-9-5
Machop,base4-78,Base Set 2,0.41000000000000003,2-9-6
Magnemite,base4-79,Base Set 2,0.38,2-9-7
Meowth,base4-80,Base Set 2,0.54,2-9-8
Metapod,base4-81,Base Set 2,0.43,2-9-9
Nidoran ♀,base4-82,Base Set 2,0.47000000000000003,2-10-1
Nidoran ♂,base4-83,Base Set 2,0.65,2-10-2
Onix,base4-84,Base Set 2,0.8300000000000001,2-10-3
Paras,base4-85,Base Set 2,0.38,2-10-4
Pidgey,base4-86,Base Set 2,0.53,2-10-5
Pikachu,base4-87,Base Set 2,2.11,2-10-6
Poliwag,base4-88,Base Set 2,0.41000000000000003,2-10-7
Rattata,base4-89,Base Set 2,0.45,2-10-8
Rhyhorn,base4-90,Base Set 2,0.45,2-10-9
Sandshrew,base4-91,Base Set 2,0.35000000000000003,2-11-1
Spearow,base4-92,Base Set 2,0.49,2-11-2
Squirtle,base4-93,Base Set 2,1.06,2-11-3
Starmie,base4-94,Base Set 2,0.51,2-11-4
Staryu,base4-95,Base Set 2,0.29,2-11-5
Tangela,base4-96,Base Set 2,0.35000000000000003,2-11-6
Venonat,base4-97,Base Set 2,0.6000000000000001,2-11-7
Voltorb,base4-98,Base Set 2,0.53,2-11-8
Vulpix,base4-99,Base Set 2,0.8,2-11-9
Weedle,base4-100,Base Set 2,0.35000000000000003,2-12-1
Computer Search,base4-101,Base Set 2,2.7199999999999998,2-12-2
Imposter Professor Oak,base4-102,Base Set 2,2.23,2-12-3
Item Finder,base4-103,Base Set 2,7.47,2-12-4
Lass,base4-104,Base Set 2,2.69,2-12-5
Pokémon Breeder,base4-105,Base Set 2,4.44,2-12-6
Pokémon Trader,base4-106,Base Set 2,3.23,2-12-7
Scoop Up,base4-107,Base Set 2,4.3,2-12-8
Super Energy Removal,base4-108,Base Set 2,2.51,2-12-9
